Normal 0,Normal 1,Normal 2,Normal 3,Normal 4,Normal 5,Normal 6,Normal 7,Normal 8,Normal 9,Normal 10,Normal 11,Normal 12,Normal 13,Normal 14,Normal 15,Normal 16,Normal 17
96.9217,,,,,,,,,,,,,98.9353,,,,
96.4067,,,,,,,,,,,,,99.2187,,,,
95.5535,,,,,,,,,,,,,98.211,,,,
94.7899,,,,,,,,,,,,,97.18819,,,,
95.74651,,,,,,,,,,,,,96.8653,,,,
96.533,,,,,,,,,,,,,98.4697,,,,
97.9407,,,,,,,,,,,,,100.2313,,,,
97.2655,,,,,,,,,,,,,99.1567,,,,
95.89301,,,,,,,,,,,,,100.0832,,,,
96.5493,,,,,,,,,,,,,101.4867,,,,
95.1055,,,,,,,,,,,,,101.6544,,,,
94.3723,,,,,,,,,,,,,102.7898,,,,
95.2066,,,,,,,,,,,,,101.9098,,,,
96.4014,,,,,,,,,,,,,98.403,,,,
97.3516,,,,,,,,,,,,,98.41071,,,,
98.9795,,,,,,,,,,,,,99.2274,,,,
96.78091,,,,,,,,,,,,,98.8258,,,,
97.81281,,,,,,,,,,,,,98.58659,,,,
96.3123,,,,,,,,,,,,,97.7533,,,,
97.56931,,,,,,,,,,,,,98.11131,,,,
97.23109,,,,,,,,,,,,,99.615,,,,
96.4367,,,,,,,,,,,,,99.9968,,,,
97.3989,,,,,,,,,,,,,99.1965,,,,
97.3293,,,,,,,,,,,,,97.2593,,,,
96.65189,,,,,,,,,,,,,96.0249,,,,
95.0592,,,,,,,,,,,,,96.9537,,,,
96.9085,,,,,,,,,,,,,96.27299,,,,
96.4898,,,,,,,,,,,,,96.0624,,,,
98.50359,,,,,,,,,,,,,98.8927,,,,
99.1058,,,,,,,,,,,,,99.952,,,,
98.1748,,,,,,,,,,,,,98.2561,,,,
96.8961,,,,,,,,,,,,,98.8414,,,,
96.0064,,,,,,,,,,,,,99.0108,,,,
96.20589,,,,,,,,,,,,,100.5918,,,,
96.9739,,,,,,,,,,,,,98.8019,,,,
95.6072,,,,,,,,,,,,,97.5724,,,,
94.4026,,,,,,,,,,,,,98.7574,,,,
94.5781,,,,,,,,,,,,,98.0947,,,,
94.9395,,,,,,,,,,,,,100.6588,,,,
94.7861,,,,,,,,,,,,,100.5634,,,,
95.6655,,,,,,,,,,,,,99.4225,,,,
96.55,,,,,,,,,,,,,99.1993,,,,
95.7468,,,,,,,,,,,,,97.4818,,,,
97.9777,,,,,,,,,,,,,96.4907,,,,
97.80299,,,,,,,,,,,,,96.55331,,,,
96.6289,,,,,,,,,,,,,98.2326,,,,
94.9978,,,,,,,,,,,,,98.0095,,,,
94.924,,,,,,,,,,,,,97.4182,,,,
95.0332,,,,,,,,,,,,,96.1097,,,,
96.0982,,,,,,,,,,,,,96.41441,,,,
98.0708,,,,,,,,,,,,,95.8003,,,,
99.7001,,,,,,,,,,,,,95.74969,,,,
98.164,,,,,,,,,,,,,95.4879,,,,
97.2948,,,,,,,,,,,,,95.0629,,,,
97.2531,,,,,,,,,,,,,97.7868,,,,
97.0145,,,,,,,,,,,,,99.5518,,,,
96.8219,,,,,,,,,,,,,98.5881,,,,
96.7929,,,,,,,,,,,,,98.1422,,,,
94.825,,,,,,,,,,,,,100.0425,,,,
94.9403,,,,,,,,,,,,,100.5245,,,,
93.96609,,,,,,,,,,,,,100.2908,,,,
91.9547,,,,,,,,,,,,,100.3987,,,,
94.1507,,,,,,,,,,,,,100.8697,,,,
92.4517,,,,,,,,,,,,,103.1663,,,,
93.2582,,,,,,,,,,,,,101.8647,,,,
92.8772,,,,,,,,,,,,,102.4067,,,,
